,Company name,rounds,rate
254,ATEEDA,3,0.83
255,ATEEDA,4,0.32
257,ATEEDA,5,0.8
363,Adbrain,3,1.0
364,Adbrain,4,0.2
365,Adbrain,5,0.27
480,Affresol,3,0.7
481,Affresol,4,0.8
495,Affresol,5,0.97
589,Airborne Energy,3,1.0
590,Airborne Energy,4,0.77
591,Airborne Energy,5,0.72
767,Albert Medical Devices,3,0.34
768,Albert Medical Devices,4,0.4
769,Albert Medical Devices,5,0.41
839,Alma de Cuba,3,0.68
840,Alma de Cuba,4,0.35
841,Alma de Cuba,5,0.46
883,Babease,3,1.0
886,Babease,4,0.75
887,Babease,5,0.59
1073,Bactest,3,0.33
1099,Bactest,4,0.93
1101,Bactest,5,0.48
1149,Bounce Foods,3,0.64
1151,Bounce Foods,4,0.46
1154,Bounce Foods,5,0.8
1283,Bounts,3,0.51
1284,Bounts,4,0.67
1285,Bounts,5,0.56
1458,Cellexus,3,0.63
1459,Cellexus,4,0.51
1460,Cellexus,5,0.4
1495,Chifafa,3,1.0
1496,Chifafa,4,0.54
1498,Chifafa,5,0.38
1594,Clear Returns,3,0.8
1595,Clear Returns,4,0.81
1598,Clear Returns,5,0.65
1663,Comic Animations,3,0.83
1664,Comic Animations,4,0.31
1665,Comic Animations,5,0.29
1848,Critical Pharmaceuticals,3,0.4
1849,Critical Pharmaceuticals,4,0.26
1850,Critical Pharmaceuticals,5,0.18
2015,CrowdScores,3,0.19
2016,CrowdScores,4,0.33
2017,CrowdScores,5,0.18
2131,Crowdmix,3,0.3
2134,Crowdmix,4,0.67
2133,Crowdmix,5,1.0
2168,CueSongs,3,0.78
2169,CueSongs,4,0.78
2166,CueSongs,5,0.89
2332,Dab Gaming,3,0.41
2335,Dab Gaming,4,0.26
2336,Dab Gaming,5,0.2
2385,Dead Right,3,1.0
2398,Dead Right,4,1.0
2399,Dead Right,5,0.31
2442,Edgeley Green Power,3,0.6
2443,Edgeley Green Power,4,0.64
2444,Edgeley Green Power,5,0.86
2530,EnXray,3,1.0
2528,EnXray,4,0.59
2531,EnXray,5,0.57
2635,EnergyOffGrid,3,0.74
2636,EnergyOffGrid,4,0.53
2637,EnergyOffGrid,5,0.38
2891,F-Board,3,0.78
2894,F-Board,4,0.74
2895,F-Board,5,0.57
2952,FLIO,3,1.0
2953,FLIO,4,0.6
2954,FLIO,5,0.3
3048,Feedr,3,1.0
3049,Feedr,4,0.82
3050,Feedr,5,0.27
3060,FieldSmartr,3,1.0
3061,FieldSmartr,4,1.0
3062,FieldSmartr,5,0.75
3299,Flix Innovations,3,0.69
3301,Flix Innovations,4,0.71
3267,Flix Innovations,5,0.7
3349,Flute Office,3,1.0
3363,Flute Office,4,0.92
3364,Flute Office,5,0.88
3381,GSAVr,3,0.8
3378,GSAVr,4,1.0
3379,GSAVr,5,0.5
3450,Genus Law,3,0.68
3459,Genus Law,4,0.77
3460,Genus Law,5,0.13
3504,Hale & Hearty,3,0.58
3497,Hale & Hearty,4,0.22
3498,Hale & Hearty,5,0.36
3613,HeadcastLab,3,0.39
3614,HeadcastLab,4,0.43
3615,HeadcastLab,5,0.18
3764,Hubbub,3,0.5
3769,Hubbub,4,0.78
3770,Hubbub,5,0.46
3878,Inside Biometrics,3,1.0
3881,Inside Biometrics,4,0.56
3882,Inside Biometrics,5,0.59
4005,Jinn,3,0.88
4006,Jinn,4,0.12
4007,Jinn,5,0.43
4206,Jupiter Diagnostics,3,1.0
4207,Jupiter Diagnostics,4,0.49
4208,Jupiter Diagnostics,5,0.54
4291,Loot,3,0.96
4292,Loot,4,0.29
4293,Loot,5,0.48
4399,LumeJet,3,0.97
4400,LumeJet,4,0.43
4401,LumeJet,5,0.22
4599,MCADO,3,1.0
4601,MCADO,4,0.8
4603,MCADO,5,0.35
4659,Make it Social,3,0.93
4660,Make it Social,4,0.88
4661,Make it Social,5,0.67
4907,Metalysis,3,0.19
4842,Metalysis,4,1.0
4908,Metalysis,5,0.32
4966,Metropolis Digital Media,3,1.0
4989,Metropolis Digital Media,4,1.0
4990,Metropolis Digital Media,5,0.2
5042,MiTonics,3,0.6
5043,MiTonics,4,1.0
5036,MiTonics,5,1.0
5116,Monreal London,3,1.0
5117,Monreal London,4,0.85
5121,Monreal London,5,0.76
5158,MusicQubed,3,0.8
5159,MusicQubed,4,0.8
5161,MusicQubed,5,0.7
5444,NetThings,3,0.69
5445,NetThings,4,0.7
5446,NetThings,5,0.59
5727,Neyber,3,0.81
5728,Neyber,4,0.47
5722,Neyber,5,0.33
5850,Oceanfoil,3,0.48
5851,Oceanfoil,4,0.61
5852,Oceanfoil,5,0.45
5853,Oxitec,3,1.0
5854,Oxitec,4,1.0
5855,Oxitec,5,1.0
6081,Payfont,3,1.0
6084,Payfont,4,0.69
6086,Payfont,5,0.64
6121,Pemberton Childcare,3,0.7
6123,Pemberton Childcare,4,0.73
6125,Pemberton Childcare,5,0.6
6245,Pizza Rossa,3,0.8
6246,Pizza Rossa,4,0.3
6254,Pizza Rossa,5,0.91
6268,PropTech Insights,3,1.0
6271,PropTech Insights,4,1.0
6274,PropTech Insights,5,0.4
6279,QuidCycle,3,1.0
6280,QuidCycle,4,1.0
6281,QuidCycle,5,0.5
6292,REG,3,1.0
6295,REG,4,1.0
6299,REG,5,1.0
6325,Regenesis Bioenergy,3,1.0
6326,Regenesis Bioenergy,4,0.88
6327,Regenesis Bioenergy,5,0.88
6352,SETL,3,1.0
6355,SETL,4,0.91
6356,SETL,5,0.42
6375,Scanimal Trackers,3,1.0
6377,Scanimal Trackers,4,0.29
6381,Scanimal Trackers,5,0.73
6391,Skyscanner,3,1.0
6392,Skyscanner,4,0.75
6393,Skyscanner,5,0.6
6466,Smart Antenna Technologies,3,0.87
6468,Smart Antenna Technologies,4,0.65
6471,Smart Antenna Technologies,5,0.54
6489,Soho Create,3,1.0
6492,Soho Create,4,1.0
6494,Soho Create,5,0.7
6508,Speed of Light Media,3,1.0
6509,Speed of Light Media,4,1.0
6510,Speed of Light Media,5,1.0
6690,Square Pie,3,0.8
6691,Square Pie,4,0.1
6710,Square Pie,5,0.56
6750,Subzero Lighting,3,0.75
6751,Subzero Lighting,4,0.5
6748,Subzero Lighting,5,0.25
6788,SwipeIn,3,0.6
6789,SwipeIn,4,1.0
6790,SwipeIn,5,0.64
6981,Tagstr,3,0.85
6994,Tagstr,4,1.0
6995,Tagstr,5,0.15
7027,TapFuse,3,0.67
7028,TapFuse,4,0.33
7029,TapFuse,5,0.6
7127,TenTel,3,1.0
7140,TenTel,4,0.95
7141,TenTel,5,0.95
7324,The Hook,3,0.53
7325,The Hook,4,0.4
7328,The Hook,5,0.66
7533,The Stable,3,1.0
7538,The Stable,4,0.95
7539,The Stable,5,0.14
7584,TyresOnTheDrive,3,0.58
7582,TyresOnTheDrive,4,0.54
7585,TyresOnTheDrive,5,0.31
7725,UK Bond Network,3,0.44
7726,UK Bond Network,4,0.53
7727,UK Bond Network,5,0.11
7760,Unified,3,1.0
7757,Unified,4,0.6
7758,Unified,5,1.0
7819,Upstream,3,0.25
7820,Upstream,4,0.5
7821,Upstream,5,0.46
7897,Vinoa,3,0.82
7898,Vinoa,4,0.13
7900,Vinoa,5,0.04
7906,Yapjobs,3,1.0
7908,Yapjobs,4,0.67
7913,Yapjobs,5,1.0
7974,Zone App,3,0.83
7975,Zone App,4,0.37
7976,Zone App,5,0.35
8054,ZuvaSyntha,3,0.25
8055,ZuvaSyntha,4,0.25
8056,ZuvaSyntha,5,0.15
8212,eMoov,3,1.0
8213,eMoov,4,0.32
8214,eMoov,5,0.81
8233,esa,3,0.8
8234,esa,4,0.8
8235,esa,5,0.33
8442,tootle,3,0.98
8443,tootle,4,0.05
8444,tootle,5,0.22
